# variable name: omega_window
# 	type: line
# 	axis: omega
# 	units: au

# 1st column: omega (rad/ps)
# 2nd column: omega_window (au)

-3.125645482759387583e+00 1.895113776773369244e-02
-3.093751141098577850e+00 2.092711634196883774e-02
-3.061856799437767673e+00 2.308562852298712970e-02
-3.029962457776957496e+00 2.544088598749377414e-02
-2.998068116116147763e+00 2.800792757415971473e-02
-2.966173774455337586e+00 3.080263942896570295e-02
-2.934279432794527409e+00 3.384177267321630128e-02
-2.902385091133717232e+00 3.714295823132740537e-02
-2.870490749472907499e+00 4.072471844029377369e-02
-2.838596407812097322e+00 4.460647504925572410e-02
-2.806702066151287145e+00 4.880855320610257009e-02
-2.774807724490476968e+00 5.335218101888383052e-02
-2.742913382829666791e+00 5.825948427325502305e-02
-2.711019041168856614e+00 6.355347588358389865e-02
-2.679124699508046437e+00 6.925803965499097159e-02
-2.647230357847236704e+00 7.539790793680861691e-02
-2.615336016186426527e+00 8.199863275501086124e-02
-2.583441674525616349e+00 8.908655002237610143e-02
-2.551547332864806616e+00 9.668873644076875218e-02
-2.519652991203996439e+00 1.048329587302012367e-01
-2.487758649543186262e+00 1.135476148444819616e-01
-2.455864307882376085e+00 1.228616668634608805e-01
-2.423969966221566352e+00 1.328045652872817950e-01
-2.392075624560756175e+00 1.434061644987579265e-01
-2.360181282899945998e+00 1.546966292060510395e-01
-2.328286941239135821e+00 1.667063317292665492e-01
-2.296392599578325644e+00 1.794657400513151868e-01
-2.264498257917515467e+00 1.930052966153330551e-01
-2.232603916256705290e+00 2.073552879179146324e-01
-2.200709574595895557e+00 2.225457050191558817e-01
-2.168815232935085380e+00 2.386060951667128283e-01
-2.136920891274275203e+00 2.555654048113712440e-01
-2.105026549613465026e+00 2.734518143755479969e-01
-2.073132207952655293e+00 2.922925652231591065e-01
-2.041237866291845116e+00 3.121137793688147366e-01
-2.009343524631034938e+00 3.329402725556525611e-01
-1.977449182970225205e+00 3.547953614235805353e-01
-1.945554841309415028e+00 3.777006655824488579e-01
-1.913660499648604851e+00 4.016759054968674358e-01
-1.881766157987794674e+00 4.267386971801310214e-01
-1.849871816326984719e+00 4.529043447830191083e-01
-1.817977474666174542e+00 4.801856322481599659e-01
-1.786083133005364365e+00 5.085926152811257595e-01
-1.754188791344554632e+00 5.381324149644559629e-01
-1.722294449683744455e+00 5.688090144093150835e-01
-1.690400108022934278e+00 6.006230599004633852e-01
-1.658505766362124101e+00 6.335716680426154435e-01
-1.626611424701314146e+00 6.676482404590928788e-01
-1.594717083040503969e+00 7.028422876259883267e-01
-1.562822741379693792e+00 7.391392634459535982e-01
-1.530928399718883837e+00 7.765204121743810584e-01
-1.499034058058073882e+00 8.149626293064055060e-01
-1.467139716397263705e+00 8.544383380151754359e-01
-1.435245374736453750e+00 8.949153826996836258e-01
-1.403351033075643572e+00 9.363569411536830644e-01
-1.371456691414833395e+00 9.787214568055389030e-01
-1.339562349754023218e+00 1.021962592402165360e+00
-1.307668008093213263e+00 1.066029206418418918e+00
-1.275773666432403308e+00 1.110865353366663477e+00
-1.243879324771593131e+00 1.156410309059962005e+00
-1.211984983110783176e+00 1.202598621747011931e+00
-1.180090641449972999e+00 1.249360189888135686e+00
-1.148196299789162822e+00 1.296620367180189026e+00
-1.116301958128352645e+00 1.344300095265174466e+00
-1.084407616467542690e+00 1.392316064373722906e+00
-1.052513274806732513e+00 1.440580901961803439e+00
-1.020618933145922558e+00 1.489003389198414240e+00
-9.887245914851126027e-01 1.537488704955233487e+00
-9.568302498243024257e-01 1.585938696737920761e+00
-9.249359081634923596e-01 1.634252177784793147e+00
-8.930415665026821825e-01 1.682325249343847862e+00
-8.611472248418722275e-01 1.730051646925512721e+00
-8.292528831810620504e-01 1.777323109118140287e+00
-7.973585415202519844e-01 1.824029767348119613e+00
-7.654641998594419183e-01 1.870060554768683714e+00
-7.335698581986318523e-01 1.915303632273006373e+00
-7.016755165378217862e-01 1.959646829450113703e+00
-6.697811748770116091e-01 2.002978098138330498e+00
-6.378868332162016541e-01 2.045185976082370072e+00
-6.059924915553915881e-01 2.086160058068478040e+00
-5.740981498945814110e-01 2.125791471798859522e+00
-5.422038082337713449e-01 2.163973355673471044e+00
-5.103094665729612789e-01 2.200601335575369522e+00
-4.784151249121512128e-01 2.235573997706337135e+00
-4.465207832513410913e-01 2.268793354493303216e+00
-4.146264415905310252e-01 2.300165300583854933e+00
-3.827320999297209592e-01 2.329600055971286832e+00
-3.508377582689108931e-01 2.357012593336390349e+00
-3.189434166081008271e-01 2.382323046764482477e+00
-2.870490749472907055e-01 2.405457099091704354e+00
-2.551547332864806394e-01 2.426346345253822090e+00
-2.232603916256705456e-01 2.444928629152842703e+00
-1.913660499648604796e-01 2.461148351720672700e+00
-1.594717083040504135e-01 2.474956748043479760e+00
-1.275773666432403197e-01 2.486312131613905407e+00
-9.568302498243023979e-02 2.495180103999087962e+00
-6.378868332162015986e-02 2.501533728448673610e+00
-3.189434166081007993e-02 2.505353666216581843e+00
0.000000000000000000e+00 2.506628274631000242e+00
3.189434166081007993e-02 2.505353666216581843e+00
6.378868332162015986e-02 2.501533728448673610e+00
9.568302498243023979e-02 2.495180103999087962e+00
1.275773666432403197e-01 2.486312131613905407e+00
1.594717083040504135e-01 2.474956748043479760e+00
1.913660499648604796e-01 2.461148351720672700e+00
2.232603916256705456e-01 2.444928629152842703e+00
2.551547332864806394e-01 2.426346345253822090e+00
2.870490749472907055e-01 2.405457099091704354e+00
3.189434166081008271e-01 2.382323046764482477e+00
3.508377582689108931e-01 2.357012593336390349e+00
3.827320999297209592e-01 2.329600055971286832e+00
4.146264415905310252e-01 2.300165300583854933e+00
4.465207832513410913e-01 2.268793354493303216e+00
4.784151249121512128e-01 2.235573997706337135e+00
5.103094665729612789e-01 2.200601335575369522e+00
5.422038082337713449e-01 2.163973355673471044e+00
5.740981498945814110e-01 2.125791471798859522e+00
6.059924915553915881e-01 2.086160058068478040e+00
6.378868332162016541e-01 2.045185976082370072e+00
6.697811748770116091e-01 2.002978098138330498e+00
7.016755165378217862e-01 1.959646829450113703e+00
7.335698581986318523e-01 1.915303632273006373e+00
7.654641998594419183e-01 1.870060554768683714e+00
7.973585415202519844e-01 1.824029767348119613e+00
8.292528831810620504e-01 1.777323109118140287e+00
8.611472248418722275e-01 1.730051646925512721e+00
8.930415665026821825e-01 1.682325249343847862e+00
9.249359081634923596e-01 1.634252177784793147e+00
9.568302498243024257e-01 1.585938696737920761e+00
9.887245914851126027e-01 1.537488704955233487e+00
1.020618933145922558e+00 1.489003389198414240e+00
1.052513274806732513e+00 1.440580901961803439e+00
1.084407616467542690e+00 1.392316064373722906e+00
1.116301958128352645e+00 1.344300095265174466e+00
1.148196299789162822e+00 1.296620367180189026e+00
1.180090641449972999e+00 1.249360189888135686e+00
1.211984983110783176e+00 1.202598621747011931e+00
1.243879324771593131e+00 1.156410309059962005e+00
1.275773666432403308e+00 1.110865353366663477e+00
1.307668008093213263e+00 1.066029206418418918e+00
1.339562349754023218e+00 1.021962592402165360e+00
1.371456691414833395e+00 9.787214568055389030e-01
1.403351033075643572e+00 9.363569411536830644e-01
1.435245374736453750e+00 8.949153826996836258e-01
1.467139716397263705e+00 8.544383380151754359e-01
1.499034058058073882e+00 8.149626293064055060e-01
1.530928399718883837e+00 7.765204121743810584e-01
1.562822741379693792e+00 7.391392634459535982e-01
1.594717083040503969e+00 7.028422876259883267e-01
1.626611424701314146e+00 6.676482404590928788e-01
1.658505766362124101e+00 6.335716680426154435e-01
1.690400108022934278e+00 6.006230599004633852e-01
1.722294449683744455e+00 5.688090144093150835e-01
1.754188791344554632e+00 5.381324149644559629e-01
1.786083133005364365e+00 5.085926152811257595e-01
1.817977474666174542e+00 4.801856322481599659e-01
1.849871816326984719e+00 4.529043447830191083e-01
1.881766157987794674e+00 4.267386971801310214e-01
1.913660499648604851e+00 4.016759054968674358e-01
1.945554841309415028e+00 3.777006655824488579e-01
1.977449182970225205e+00 3.547953614235805353e-01
2.009343524631034938e+00 3.329402725556525611e-01
2.041237866291845116e+00 3.121137793688147366e-01
2.073132207952655293e+00 2.922925652231591065e-01
2.105026549613465026e+00 2.734518143755479969e-01
2.136920891274275203e+00 2.555654048113712440e-01
2.168815232935085380e+00 2.386060951667128283e-01
2.200709574595895557e+00 2.225457050191558817e-01
2.232603916256705290e+00 2.073552879179146324e-01
2.264498257917515467e+00 1.930052966153330551e-01
2.296392599578325644e+00 1.794657400513151868e-01
2.328286941239135821e+00 1.667063317292665492e-01
2.360181282899945998e+00 1.546966292060510395e-01
2.392075624560756175e+00 1.434061644987579265e-01
2.423969966221566352e+00 1.328045652872817950e-01
2.455864307882376085e+00 1.228616668634608805e-01
2.487758649543186262e+00 1.135476148444819616e-01
2.519652991203996439e+00 1.048329587302012367e-01
2.551547332864806616e+00 9.668873644076875218e-02
2.583441674525616349e+00 8.908655002237610143e-02
2.615336016186426527e+00 8.199863275501086124e-02
2.647230357847236704e+00 7.539790793680861691e-02
2.679124699508046437e+00 6.925803965499097159e-02
2.711019041168856614e+00 6.355347588358389865e-02
2.742913382829666791e+00 5.825948427325502305e-02
2.774807724490476968e+00 5.335218101888383052e-02
2.806702066151287145e+00 4.880855320610257009e-02
2.838596407812097322e+00 4.460647504925572410e-02
2.870490749472907499e+00 4.072471844029377369e-02
2.902385091133717232e+00 3.714295823132740537e-02
2.934279432794527409e+00 3.384177267321630128e-02
2.966173774455337586e+00 3.080263942896570295e-02
2.998068116116147763e+00 2.800792757415971473e-02
3.029962457776957496e+00 2.544088598749377414e-02
3.061856799437767673e+00 2.308562852298712970e-02
3.093751141098577850e+00 2.092711634196883774e-02
3.125645482759387583e+00 1.895113776773369244e-02

