# variable name: omega_window
# 	type: line
# 	axis: omega
# 	units: au

# 1st column: omega (rad/ps)
# 2nd column: omega_window (au)

-3.125645482759387583e+00 2.387126245630224464e-01
-3.093751141098577850e+00 2.389495014440938259e-01
-3.061856799437767673e+00 2.391841802692909469e-01
-3.029962457776957496e+00 2.394166541029867368e-01
-2.998068116116147763e+00 2.396469160701009959e-01
-2.966173774455337586e+00 2.398749593564390714e-01
-2.934279432794527409e+00 2.401007772090280046e-01
-2.902385091133717232e+00 2.403243629364495149e-01
-2.870490749472907499e+00 2.405457099091704298e-01
-2.838596407812097322e+00 2.407648115598701732e-01
-2.806702066151287145e+00 2.409816613837653942e-01
-2.774807724490476968e+00 2.411962529389317100e-01
-2.742913382829666791e+00 2.414085798466227006e-01
-2.711019041168856614e+00 2.416186357915855731e-01
-2.679124699508046437e+00 2.418264145223744388e-01
-2.647230357847236704e+00 2.420319098516600098e-01
-2.615336016186426527e+00 2.422351156565368535e-01
-2.583441674525616349e+00 2.424360258788272882e-01
-2.551547332864806616e+00 2.426346345253821979e-01
-2.519652991203996439e+00 2.428309356683792386e-01
-2.487758649543186262e+00 2.430249234456173524e-01
-2.455864307882376085e+00 2.432165920608086174e-01
-2.423969966221566352e+00 2.434059357838668780e-01
-2.392075624560756175e+00 2.435929489511931556e-01
-2.360181282899945998e+00 2.437776259659578948e-01
-2.328286941239135821e+00 2.439599612983801846e-01
-2.296392599578325644e+00 2.441399494860036767e-01
-2.264498257917515467e+00 2.443175851339692006e-01
-2.232603916256705290e+00 2.444928629152842703e-01
-2.200709574595895557e+00 2.446657775710893434e-01
-2.168815232935085380e+00 2.448363239109206946e-01
-2.136920891274275203e+00 2.450044968129701517e-01
-2.105026549613465026e+00 2.451702912243412524e-01
-2.073132207952655293e+00 2.453337021613024860e-01
-2.041237866291845116e+00 2.454947247095367602e-01
-2.009343524631034938e+00 2.456533540243877600e-01
-1.977449182970225205e+00 2.458095853311028645e-01
-1.945554841309415028e+00 2.459634139250727602e-01
-1.913660499648604851e+00 2.461148351720672811e-01
-1.881766157987794674e+00 2.462638445084683325e-01
-1.849871816326984719e+00 2.464104374414990417e-01
-1.817977474666174542e+00 2.465546095494494661e-01
-1.786083133005364365e+00 2.466963564818988042e-01
-1.754188791344554632e+00 2.468356739599343874e-01
-1.722294449683744455e+00 2.469725577763667579e-01
-1.690400108022934278e+00 2.471070037959414989e-01
-1.658505766362124101e+00 2.472390079555473463e-01
-1.626611424701314146e+00 2.473685662644209693e-01
-1.594717083040503969e+00 2.474956748043479760e-01
-1.562822741379693792e+00 2.476203297298603390e-01
-1.530928399718883837e+00 2.477425272684303792e-01
-1.499034058058073882e+00 2.478622637206610024e-01
-1.467139716397263705e+00 2.479795354604724111e-01
-1.435245374736453750e+00 2.480943389352850137e-01
-1.403351033075643572e+00 2.482066706661988365e-01
-1.371456691414833395e+00 2.483165272481692720e-01
-1.339562349754023218e+00 2.484239053501790806e-01
-1.307668008093213263e+00 2.485288017154065887e-01
-1.275773666432403308e+00 2.486312131613905296e-01
-1.243879324771593131e+00 2.487311365801908591e-01
-1.211984983110783176e+00 2.488285689385459076e-01
-1.180090641449972999e+00 2.489235072780258962e-01
-1.148196299789162822e+00 2.490159487151826778e-01
-1.116301958128352645e+00 2.491058904416956488e-01
-1.084407616467542690e+00 2.491933297245139400e-01
-1.052513274806732513e+00 2.492782639059947791e-01
-1.020618933145922558e+00 2.493606904040383265e-01
-9.887245914851126027e-01 2.494406067122182102e-01
-9.568302498243024257e-01 2.495180103999087851e-01
-9.249359081634923596e-01 2.495928991124082563e-01
-8.930415665026821825e-01 2.496652705710579456e-01
-8.611472248418722275e-01 2.497351225733581426e-01
-8.292528831810620504e-01 2.498024529930794602e-01
-7.973585415202519844e-01 2.498672597803710815e-01
-7.654641998594419183e-01 2.499295409618643993e-01
-7.335698581986318523e-01 2.499892946407734351e-01
-7.016755165378217862e-01 2.500465189969909852e-01
-6.697811748770116091e-01 2.501012122871810184e-01
-6.378868332162016541e-01 2.501533728448673832e-01
-6.059924915553915881e-01 2.502029990805180737e-01
-5.740981498945814110e-01 2.502500894816262478e-01
-5.422038082337713449e-01 2.502946426127871105e-01
-5.103094665729612789e-01 2.503366571157704668e-01
-4.784151249121512128e-01 2.503761317095902772e-01
-4.465207832513410913e-01 2.504130651905690508e-01
-4.146264415905310252e-01 2.504474564323997954e-01
-3.827320999297209592e-01 2.504793043862026392e-01
-3.508377582689108931e-01 2.505086080805784543e-01
-3.189434166081008271e-01 2.505353666216582065e-01
-2.870490749472907055e-01 2.505595791931482519e-01
-2.551547332864806394e-01 2.505812450563721372e-01
-2.232603916256705456e-01 2.506003635503077365e-01
-1.913660499648604796e-01 2.506169340916212795e-01
-1.594717083040504135e-01 2.506309561746968284e-01
-1.275773666432403197e-01 2.506424293716618124e-01
-9.568302498243023979e-02 2.506513533324091769e-01
-6.378868332162015986e-02 2.506577277846148699e-01
-3.189434166081007993e-02 2.506615525337518857e-01
0.000000000000000000e+00 2.506628274631000353e-01
3.189434166081007993e-02 2.506615525337518857e-01
6.378868332162015986e-02 2.506577277846148699e-01
9.568302498243023979e-02 2.506513533324091769e-01
1.275773666432403197e-01 2.506424293716618124e-01
1.594717083040504135e-01 2.506309561746968284e-01
1.913660499648604796e-01 2.506169340916212795e-01
2.232603916256705456e-01 2.506003635503077365e-01
2.551547332864806394e-01 2.505812450563721372e-01
2.870490749472907055e-01 2.505595791931482519e-01
3.189434166081008271e-01 2.505353666216582065e-01
3.508377582689108931e-01 2.505086080805784543e-01
3.827320999297209592e-01 2.504793043862026392e-01
4.146264415905310252e-01 2.504474564323997954e-01
4.465207832513410913e-01 2.504130651905690508e-01
4.784151249121512128e-01 2.503761317095902772e-01
5.103094665729612789e-01 2.503366571157704668e-01
5.422038082337713449e-01 2.502946426127871105e-01
5.740981498945814110e-01 2.502500894816262478e-01
6.059924915553915881e-01 2.502029990805180737e-01
6.378868332162016541e-01 2.501533728448673832e-01
6.697811748770116091e-01 2.501012122871810184e-01
7.016755165378217862e-01 2.500465189969909852e-01
7.335698581986318523e-01 2.499892946407734351e-01
7.654641998594419183e-01 2.499295409618643993e-01
7.973585415202519844e-01 2.498672597803710815e-01
8.292528831810620504e-01 2.498024529930794602e-01
8.611472248418722275e-01 2.497351225733581426e-01
8.930415665026821825e-01 2.496652705710579456e-01
9.249359081634923596e-01 2.495928991124082563e-01
9.568302498243024257e-01 2.495180103999087851e-01
9.887245914851126027e-01 2.494406067122182102e-01
1.020618933145922558e+00 2.493606904040383265e-01
1.052513274806732513e+00 2.492782639059947791e-01
1.084407616467542690e+00 2.491933297245139400e-01
1.116301958128352645e+00 2.491058904416956488e-01
1.148196299789162822e+00 2.490159487151826778e-01
1.180090641449972999e+00 2.489235072780258962e-01
1.211984983110783176e+00 2.488285689385459076e-01
1.243879324771593131e+00 2.487311365801908591e-01
1.275773666432403308e+00 2.486312131613905296e-01
1.307668008093213263e+00 2.485288017154065887e-01
1.339562349754023218e+00 2.484239053501790806e-01
1.371456691414833395e+00 2.483165272481692720e-01
1.403351033075643572e+00 2.482066706661988365e-01
1.435245374736453750e+00 2.480943389352850137e-01
1.467139716397263705e+00 2.479795354604724111e-01
1.499034058058073882e+00 2.478622637206610024e-01
1.530928399718883837e+00 2.477425272684303792e-01
1.562822741379693792e+00 2.476203297298603390e-01
1.594717083040503969e+00 2.474956748043479760e-01
1.626611424701314146e+00 2.473685662644209693e-01
1.658505766362124101e+00 2.472390079555473463e-01
1.690400108022934278e+00 2.471070037959414989e-01
1.722294449683744455e+00 2.469725577763667579e-01
1.754188791344554632e+00 2.468356739599343874e-01
1.786083133005364365e+00 2.466963564818988042e-01
1.817977474666174542e+00 2.465546095494494661e-01
1.849871816326984719e+00 2.464104374414990417e-01
1.881766157987794674e+00 2.462638445084683325e-01
1.913660499648604851e+00 2.461148351720672811e-01
1.945554841309415028e+00 2.459634139250727602e-01
1.977449182970225205e+00 2.458095853311028645e-01
2.009343524631034938e+00 2.456533540243877600e-01
2.041237866291845116e+00 2.454947247095367602e-01
2.073132207952655293e+00 2.453337021613024860e-01
2.105026549613465026e+00 2.451702912243412524e-01
2.136920891274275203e+00 2.450044968129701517e-01
2.168815232935085380e+00 2.448363239109206946e-01
2.200709574595895557e+00 2.446657775710893434e-01
2.232603916256705290e+00 2.444928629152842703e-01
2.264498257917515467e+00 2.443175851339692006e-01
2.296392599578325644e+00 2.441399494860036767e-01
2.328286941239135821e+00 2.439599612983801846e-01
2.360181282899945998e+00 2.437776259659578948e-01
2.392075624560756175e+00 2.435929489511931556e-01
2.423969966221566352e+00 2.434059357838668780e-01
2.455864307882376085e+00 2.432165920608086174e-01
2.487758649543186262e+00 2.430249234456173524e-01
2.519652991203996439e+00 2.428309356683792386e-01
2.551547332864806616e+00 2.426346345253821979e-01
2.583441674525616349e+00 2.424360258788272882e-01
2.615336016186426527e+00 2.422351156565368535e-01
2.647230357847236704e+00 2.420319098516600098e-01
2.679124699508046437e+00 2.418264145223744388e-01
2.711019041168856614e+00 2.416186357915855731e-01
2.742913382829666791e+00 2.414085798466227006e-01
2.774807724490476968e+00 2.411962529389317100e-01
2.806702066151287145e+00 2.409816613837653942e-01
2.838596407812097322e+00 2.407648115598701732e-01
2.870490749472907499e+00 2.405457099091704298e-01
2.902385091133717232e+00 2.403243629364495149e-01
2.934279432794527409e+00 2.401007772090280046e-01
2.966173774455337586e+00 2.398749593564390714e-01
2.998068116116147763e+00 2.396469160701009959e-01
3.029962457776957496e+00 2.394166541029867368e-01
3.061856799437767673e+00 2.391841802692909469e-01
3.093751141098577850e+00 2.389495014440938259e-01
3.125645482759387583e+00 2.387126245630224464e-01

