# variable name: vacf_C
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_C (nm2/ps2)

0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.444383727332906098e-01
2.000000000000000000e+00 -2.482544606645856189e-01
3.000000000000000000e+00 -2.842662053600979871e-02
4.000000000000000000e+00 -1.990863012824718725e-02
5.000000000000000000e+00 -2.048303325486037704e-02
6.000000000000000000e+00 -7.987273285329722985e-03
7.000000000000000000e+00 8.920972698028923828e-03
8.000000000000000000e+00 1.273149405668630614e-02
9.000000000000000000e+00 5.624766807957323235e-03
1.000000000000000000e+01 -1.840161419937179311e-03
1.100000000000000000e+01 -1.153392825797239446e-03
1.200000000000000000e+01 -9.912560338742773362e-04
1.300000000000000000e+01 -8.121110027192452244e-03
1.400000000000000000e+01 -1.086994994831996103e-02
1.500000000000000000e+01 -5.713048910009689216e-03
1.600000000000000000e+01 -2.249170074372610056e-03
1.700000000000000000e+01 -8.019812211712419158e-04
1.800000000000000000e+01 -8.752315758223291539e-03
1.900000000000000000e+01 -1.394258399261276427e-02
2.000000000000000000e+01 -8.223316534957187535e-03
2.100000000000000000e+01 -1.567702868616070722e-02
2.200000000000000000e+01 -2.349010272256610299e-02
2.300000000000000000e+01 -1.384923425330896601e-02
2.400000000000000000e+01 1.009560954962424040e-02
2.500000000000000000e+01 6.859500737948602545e-03
2.600000000000000000e+01 -2.314898533884285001e-02
2.700000000000000000e+01 -1.773550159295692041e-02
2.800000000000000000e+01 -7.886935817325557360e-03
2.900000000000000000e+01 -2.608476606935530157e-02
3.000000000000000000e+01 -2.423762139838334453e-02
3.100000000000000000e+01 1.502214076454964572e-04
3.200000000000000000e+01 -9.099435119144939910e-03
3.300000000000000000e+01 -3.875790419702210277e-02
3.400000000000000000e+01 -2.543579758075891623e-02
3.500000000000000000e+01 2.456006503063504903e-02
3.600000000000000000e+01 4.348050460943400641e-02
3.700000000000000000e+01 1.796660021612966202e-02
3.800000000000000000e+01 -2.986872991095533558e-03
3.900000000000000000e+01 2.903990042832132329e-03
4.000000000000000000e+01 3.350672231202189624e-03
4.100000000000000000e+01 -1.319642995696444950e-02
4.200000000000000000e+01 7.780400870422581917e-04
4.300000000000000000e+01 2.930643301414716934e-02
4.400000000000000000e+01 2.843373841877927521e-02
4.500000000000000000e+01 8.504728112887875724e-03
4.600000000000000000e+01 -1.041050339535215009e-02
4.700000000000000000e+01 -1.247986651247485167e-02
4.800000000000000000e+01 -2.184253289130246370e-03
4.900000000000000000e+01 4.889822656049221724e-04
5.000000000000000000e+01 -1.254179440939583688e-02
5.100000000000000000e+01 -1.354679394406977863e-02
5.200000000000000000e+01 -7.393560404252612697e-03
5.300000000000000000e+01 -1.152394647332654828e-02
5.400000000000000000e+01 4.215704004002544629e-03
5.500000000000000000e+01 1.117949560339794902e-02
5.600000000000000000e+01 -2.879292461767509522e-03
5.700000000000000000e+01 -9.501192548639340874e-03
5.800000000000000000e+01 -1.767581699395402370e-02
5.900000000000000000e+01 5.506686906226250511e-03
6.000000000000000000e+01 3.088194117137321032e-02
6.100000000000000000e+01 9.451685186529631619e-03
6.200000000000000000e+01 -1.732562255802506598e-02
6.300000000000000000e+01 -5.263558132212172586e-02
6.400000000000000000e+01 -7.261595603868589710e-02
6.500000000000000000e+01 -4.147878571565721123e-02
6.600000000000000000e+01 1.301014556575165806e-02
6.700000000000000000e+01 4.375055734823615761e-02
6.800000000000000000e+01 2.863881115082543213e-02
6.900000000000000000e+01 -1.892236804034743564e-02
7.000000000000000000e+01 -5.981208009763310657e-02
7.100000000000000000e+01 -5.586043621069176207e-02
7.200000000000000000e+01 -6.346543159275980228e-02
7.300000000000000000e+01 -7.352179863105232083e-02
7.400000000000000000e+01 -3.165251312953253071e-02
7.500000000000000000e+01 9.496834036821783908e-04
7.600000000000000000e+01 -2.888065222935363996e-02
7.700000000000000000e+01 -5.244583418290581917e-02
7.800000000000000000e+01 -1.688360408163456713e-02
7.900000000000000000e+01 -6.659444992051628820e-03
8.000000000000000000e+01 -2.815810135791865787e-03
8.100000000000000000e+01 1.956839437507215326e-02
8.200000000000000000e+01 -6.783877240315779218e-03
8.300000000000000000e+01 -1.156737365264508093e-02
8.400000000000000000e+01 2.631175144798830051e-02
8.500000000000000000e+01 6.260442602956548148e-03
8.600000000000000000e+01 -5.519235509161059261e-02
8.700000000000000000e+01 -8.583399496238247606e-02
8.800000000000000000e+01 -1.254829683446889721e-01
8.900000000000000000e+01 -9.095566826032869256e-02
9.000000000000000000e+01 -1.818341019679930309e-02
9.100000000000000000e+01 -6.092459379028430239e-02
9.200000000000000000e+01 -4.981284747026595849e-02
9.300000000000000000e+01 1.145794853372555933e-02
9.400000000000000000e+01 -2.906073201867402644e-02
9.500000000000000000e+01 1.778177917250465395e-03
9.600000000000000000e+01 2.651556883276766363e-02
9.700000000000000000e+01 1.985446546017508637e-03
9.800000000000000000e+01 2.269458548263967312e-01

