# variable name: vacf_H
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_H (nm2/ps2)

0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.072248822974258886e-01
2.000000000000000000e+00 -2.971532923552332450e-01
3.000000000000000000e+00 -5.101037415628065230e-02
4.000000000000000000e+00 -2.944580110454698280e-02
5.000000000000000000e+00 -2.216481599751600473e-02
6.000000000000000000e+00 -1.113093881206077967e-02
7.000000000000000000e+00 1.131160552551858630e-03
8.000000000000000000e+00 4.702549152988196209e-03
9.000000000000000000e+00 5.970244584239189781e-04
1.000000000000000000e+01 -3.503305737182737991e-03
1.100000000000000000e+01 -2.618062900920560803e-03
1.200000000000000000e+01 -2.131975680181543830e-03
1.300000000000000000e+01 -3.889433053145997018e-03
1.400000000000000000e+01 -6.149699057397533565e-03
1.500000000000000000e+01 -6.352516181504131929e-03
1.600000000000000000e+01 -3.917654507866651092e-03
1.700000000000000000e+01 -3.480669668262378414e-04
1.800000000000000000e+01 -4.182511749296477163e-03
1.900000000000000000e+01 -7.991519551428148682e-03
2.000000000000000000e+01 -3.855899831385002380e-03
2.100000000000000000e+01 -8.453166250837980400e-03
2.200000000000000000e+01 -1.514935077520493216e-02
2.300000000000000000e+01 -9.002982711083559741e-03
2.400000000000000000e+01 6.860823745081729222e-03
2.500000000000000000e+01 4.199838233863842363e-03
2.600000000000000000e+01 -1.274311669519694046e-02
2.700000000000000000e+01 -8.360376958126304950e-03
2.800000000000000000e+01 -5.239394216490066841e-03
2.900000000000000000e+01 -1.796021754878174281e-02
3.000000000000000000e+01 -1.517804296378383842e-02
3.100000000000000000e+01 1.314446519592147667e-03
3.200000000000000000e+01 -4.821526277530630011e-03
3.300000000000000000e+01 -2.378320937345421854e-02
3.400000000000000000e+01 -1.525184999762573337e-02
3.500000000000000000e+01 1.586457875204759158e-02
3.600000000000000000e+01 2.631169561140949201e-02
3.700000000000000000e+01 8.738210492706703289e-03
3.800000000000000000e+01 -3.361998873757370433e-03
3.900000000000000000e+01 1.811146424365407204e-03
4.000000000000000000e+01 2.046391630701632249e-03
4.100000000000000000e+01 -7.721731968755331070e-03
4.200000000000000000e+01 5.729168666558846724e-04
4.300000000000000000e+01 1.640398045585759329e-02
4.400000000000000000e+01 1.732555355868234392e-02
4.500000000000000000e+01 6.456597008570017643e-03
4.600000000000000000e+01 -6.755521808927737737e-03
4.700000000000000000e+01 -7.714986506565446774e-03
4.800000000000000000e+01 -1.334345726858120152e-03
4.900000000000000000e+01 1.093966186268701562e-04
5.000000000000000000e+01 -5.897191150212148687e-03
5.100000000000000000e+01 -7.314967511308941711e-03
5.200000000000000000e+01 -4.875326961381079051e-03
5.300000000000000000e+01 -6.947981300529292199e-03
5.400000000000000000e+01 1.723941938103538312e-03
5.500000000000000000e+01 6.902853435857710628e-03
5.600000000000000000e+01 -1.751984633307375342e-03
5.700000000000000000e+01 -7.761299742417162618e-03
5.800000000000000000e+01 -1.145874850928079759e-02
5.900000000000000000e+01 3.485103779866354900e-03
6.000000000000000000e+01 1.835961143614919799e-02
6.100000000000000000e+01 6.176251238872789394e-03
6.200000000000000000e+01 -8.751581572493727368e-03
6.300000000000000000e+01 -2.974596454898402464e-02
6.400000000000000000e+01 -4.330796046427271007e-02
6.500000000000000000e+01 -2.567331101750437716e-02
6.600000000000000000e+01 7.794299016916601125e-03
6.700000000000000000e+01 2.781781177754592480e-02
6.800000000000000000e+01 1.875922522909381773e-02
6.900000000000000000e+01 -1.028120958910069480e-02
7.000000000000000000e+01 -3.474486207413286093e-02
7.100000000000000000e+01 -3.366089409615589251e-02
7.200000000000000000e+01 -3.749461432493948060e-02
7.300000000000000000e+01 -4.248380516653092048e-02
7.400000000000000000e+01 -1.897566927234775255e-02
7.500000000000000000e+01 -3.631479328186561651e-05
7.600000000000000000e+01 -1.687573757961554483e-02
7.700000000000000000e+01 -3.236551874580178428e-02
7.800000000000000000e+01 -1.184090649168043248e-02
7.900000000000000000e+01 -2.164730009064234732e-03
8.000000000000000000e+01 7.003172015599759548e-04
8.100000000000000000e+01 1.269951675614682841e-02
8.200000000000000000e+01 -2.300496865836981503e-03
8.300000000000000000e+01 -8.259874382351553579e-03
8.400000000000000000e+01 1.096763673923516029e-02
8.500000000000000000e+01 -1.679550949636138312e-03
8.600000000000000000e+01 -3.395966233737364448e-02
8.700000000000000000e+01 -4.533100825385081439e-02
8.800000000000000000e+01 -7.091871044322455020e-02
8.900000000000000000e+01 -5.032720827850632739e-02
9.000000000000000000e+01 -1.099400466294043338e-02
9.100000000000000000e+01 -3.596200500885993190e-02
9.200000000000000000e+01 -2.020803021180048523e-02
9.300000000000000000e+01 8.845268591083185750e-03
9.400000000000000000e+01 -2.843372782592070575e-02
9.500000000000000000e+01 7.805408335700235629e-03
9.600000000000000000e+01 3.306308448411302003e-02
9.700000000000000000e+01 -1.106001123519253018e-02
9.800000000000000000e+01 1.250452351688485231e-01

