# variable name: vacf_N
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_N (nm2/ps2)

0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.776228210046860267e-01
2.000000000000000000e+00 -5.271564680080739751e-02
3.000000000000000000e+00 5.783152737448318120e-02
4.000000000000000000e+00 -5.272054829912975124e-03
5.000000000000000000e+00 -3.009319926812865226e-02
6.000000000000000000e+00 -2.114817056012489958e-03
7.000000000000000000e+00 6.940770468709216157e-02
8.000000000000000000e+00 7.901638896570548076e-02
9.000000000000000000e+00 3.846125300194108004e-02
1.000000000000000000e+01 1.022392577357274582e-02
1.100000000000000000e+01 -1.177826587186698096e-02
1.200000000000000000e+01 -3.045085942256493469e-02
1.300000000000000000e+01 -3.976183568227177612e-02
1.400000000000000000e+01 -7.867599070919190085e-03
1.500000000000000000e+01 3.674611988238666443e-02
1.600000000000000000e+01 3.384839890062043416e-02
1.700000000000000000e+01 1.647049907368289268e-03
1.800000000000000000e+01 -5.586876262167165402e-02
1.900000000000000000e+01 -7.971868208649661447e-02
2.000000000000000000e+01 -2.558132015433686735e-02
2.100000000000000000e+01 -4.034487611900867271e-02
2.200000000000000000e+01 -7.759202439501537707e-02
2.300000000000000000e+01 -2.059018005789484823e-02
2.400000000000000000e+01 1.920838712854232994e-02
2.500000000000000000e+01 -1.678787905616655612e-02
2.600000000000000000e+01 -7.545072998835136713e-02
2.700000000000000000e+01 -5.693375887972896426e-02
2.800000000000000000e+01 -1.143222836636817105e-02
2.900000000000000000e+01 -4.061789189801123801e-02
3.000000000000000000e+01 -4.567044283097971419e-02
3.100000000000000000e+01 -1.270258703234476878e-02
3.200000000000000000e+01 -4.753266964269539652e-02
3.300000000000000000e+01 -1.185504438451152887e-01
3.400000000000000000e+01 -1.128340620367439817e-01
3.500000000000000000e+01 4.057897892972876092e-02
3.600000000000000000e+01 1.277674262390658400e-01
3.700000000000000000e+01 7.126826174965501803e-02
3.800000000000000000e+01 5.666187663634293659e-02
3.900000000000000000e+01 4.004879971644134673e-02
4.000000000000000000e+01 7.623691521697416318e-03
4.100000000000000000e+01 -4.131212342063554643e-02
4.200000000000000000e+01 -2.291152665449450870e-02
4.300000000000000000e+01 7.287553336791130487e-02
4.400000000000000000e+01 5.713996657686174624e-02
4.500000000000000000e+01 4.135691093222997397e-03
4.600000000000000000e+01 -6.182410264655682948e-03
4.700000000000000000e+01 -3.248987534514955616e-02
4.800000000000000000e+01 -3.276745294020842747e-02
4.900000000000000000e+01 -6.796188683337501049e-03
5.000000000000000000e+01 -1.807199918551399137e-02
5.100000000000000000e+01 -2.697162949096740779e-03
5.200000000000000000e+01 1.888987727331949487e-02
5.300000000000000000e+01 -3.528881500813839389e-02
5.400000000000000000e+01 -3.781161062966875708e-02
5.500000000000000000e+01 1.063178034225288095e-02
5.600000000000000000e+01 3.484483141572116555e-02
5.700000000000000000e+01 1.367768168867802142e-02
5.800000000000000000e+01 -2.116059595940030999e-02
5.900000000000000000e+01 4.379128757802250999e-02
6.000000000000000000e+01 5.632357906133782233e-02
6.100000000000000000e+01 -4.679016001155008458e-02
6.200000000000000000e+01 -1.144961633391608502e-01
6.300000000000000000e+01 -1.619964419071764083e-01
6.400000000000000000e+01 -1.770815915434328092e-01
6.500000000000000000e+01 -7.940932897760508147e-02
6.600000000000000000e+01 7.329747969012764819e-02
6.700000000000000000e+01 1.260706906304729646e-01
6.800000000000000000e+01 5.658095918313933020e-02
6.900000000000000000e+01 -7.237503468315321931e-02
7.000000000000000000e+01 -2.021437102611972070e-01
7.100000000000000000e+01 -1.921506065928729745e-01
7.200000000000000000e+01 -1.440938031122284413e-01
7.300000000000000000e+01 -1.363632681464312657e-01
7.400000000000000000e+01 -3.121480318402997459e-02
7.500000000000000000e+01 4.507220828628286102e-02
7.600000000000000000e+01 -4.143525880654319593e-02
7.700000000000000000e+01 -1.113061492315257639e-01
7.800000000000000000e+01 -1.261330216659471981e-01
7.900000000000000000e+01 -1.705463557500536131e-01
8.000000000000000000e+01 -1.110127029986322789e-01
8.100000000000000000e+01 1.484792626981853124e-02
8.200000000000000000e+01 9.647394956734126059e-02
8.300000000000000000e+01 1.360205601312484136e-01
8.400000000000000000e+01 1.421882923576175961e-01
8.500000000000000000e+01 -1.185144733942803362e-02
8.600000000000000000e+01 -2.426381265698715761e-01
8.700000000000000000e+01 -2.515173379490344141e-01
8.800000000000000000e+01 -2.938691691351967838e-01
8.900000000000000000e+01 -3.201969499225266191e-01
9.000000000000000000e+01 -1.196034259639099928e-01
9.100000000000000000e+01 -1.875621424827490086e-02
9.200000000000000000e+01 5.219733735753184778e-02
9.300000000000000000e+01 1.945683100367466903e-02
9.400000000000000000e+01 -1.498695874383927373e-01
9.500000000000000000e+01 1.015924286937668411e-02
9.600000000000000000e+01 7.202567855564838417e-02
9.700000000000000000e+01 -1.716916186203908123e-01
9.800000000000000000e+01 -1.765897673207172391e-01

