# variable name: vacf_O
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_O (nm2/ps2)

0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.057152016456841093e-01
2.000000000000000000e+00 -1.376835052250026115e-01
3.000000000000000000e+00 3.437738886305953534e-02
4.000000000000000000e+00 -5.735258549349710709e-03
5.000000000000000000e+00 -2.208395463088113145e-02
6.000000000000000000e+00 -2.561084847976004015e-03
7.000000000000000000e+00 5.017263083549929059e-02
8.000000000000000000e+00 5.801481228734073348e-02
9.000000000000000000e+00 2.667074890024423439e-02
1.000000000000000000e+01 2.679844188933542225e-03
1.100000000000000000e+01 -1.605340362592547199e-02
1.200000000000000000e+01 -2.824085544807035386e-02
1.300000000000000000e+01 -2.821816480537927066e-02
1.400000000000000000e+01 -6.476383917842141319e-03
1.500000000000000000e+01 2.185214315191449583e-02
1.600000000000000000e+01 2.363450368643723806e-02
1.700000000000000000e+01 2.852614268178923357e-03
1.800000000000000000e+01 -4.898913543774178342e-02
1.900000000000000000e+01 -6.715661007924299264e-02
2.000000000000000000e+01 -1.715028536148556493e-02
2.100000000000000000e+01 -2.322005914167839247e-02
2.200000000000000000e+01 -5.317041123873400554e-02
2.300000000000000000e+01 -1.572985688528531767e-02
2.400000000000000000e+01 1.527936029717174432e-02
2.500000000000000000e+01 -1.292196894485947607e-02
2.600000000000000000e+01 -5.349511823009293898e-02
2.700000000000000000e+01 -3.646924948305488995e-02
2.800000000000000000e+01 -6.190782691844559649e-03
2.900000000000000000e+01 -2.722232597190102701e-02
3.000000000000000000e+01 -3.448747393299222974e-02
3.100000000000000000e+01 -1.153814340072703733e-02
3.200000000000000000e+01 -3.420043161152989952e-02
3.300000000000000000e+01 -8.799199463127498066e-02
3.400000000000000000e+01 -8.303724273898110964e-02
3.500000000000000000e+01 2.426597274465381801e-02
3.600000000000000000e+01 8.946285732821025738e-02
3.700000000000000000e+01 5.757379760450437312e-02
3.800000000000000000e+01 3.716774918792378757e-02
3.900000000000000000e+01 2.663316797880940431e-02
4.000000000000000000e+01 1.488988979240978873e-02
4.100000000000000000e+01 -2.486807076045370254e-02
4.200000000000000000e+01 -1.524242388566183354e-02
4.300000000000000000e+01 5.094477382733541421e-02
4.400000000000000000e+01 3.990625802342204209e-02
4.500000000000000000e+01 -1.436211617839773871e-03
4.600000000000000000e+01 -3.040291429693352167e-03
4.700000000000000000e+01 -1.095899216586117449e-02
4.800000000000000000e+01 -2.612321657537667111e-02
4.900000000000000000e+01 -1.480475287860051961e-02
5.000000000000000000e+01 -1.090702736032873529e-02
5.100000000000000000e+01 -1.677814365121982039e-03
5.200000000000000000e+01 1.420793293709312136e-02
5.300000000000000000e+01 -2.156872269960434171e-02
5.400000000000000000e+01 -2.605878352105919435e-02
5.500000000000000000e+01 4.100406618870224180e-03
5.600000000000000000e+01 1.113921538655511696e-02
5.700000000000000000e+01 9.297746863086689753e-03
5.800000000000000000e+01 -6.684657710203595685e-03
5.900000000000000000e+01 2.283041228299990608e-02
6.000000000000000000e+01 3.585865723211774381e-02
6.100000000000000000e+01 -2.485570035179518814e-02
6.200000000000000000e+01 -7.918030578193190061e-02
6.300000000000000000e+01 -1.177927183234193237e-01
6.400000000000000000e+01 -1.246945665538735787e-01
6.500000000000000000e+01 -5.874896905423671739e-02
6.600000000000000000e+01 3.834707236877465952e-02
6.700000000000000000e+01 8.496253317774556113e-02
6.800000000000000000e+01 4.524802937303297468e-02
6.900000000000000000e+01 -5.205961609094138937e-02
7.000000000000000000e+01 -1.380871203503403200e-01
7.100000000000000000e+01 -1.455561664024161705e-01
7.200000000000000000e+01 -1.179707173142953425e-01
7.300000000000000000e+01 -9.485154548793656160e-02
7.400000000000000000e+01 -2.031940883461246308e-02
7.500000000000000000e+01 3.018920512621688090e-02
7.600000000000000000e+01 -4.405120332224277818e-02
7.700000000000000000e+01 -9.369498573475454339e-02
7.800000000000000000e+01 -7.681482140905621092e-02
7.900000000000000000e+01 -1.092851613985633824e-01
8.000000000000000000e+01 -9.055379177827121984e-02
8.100000000000000000e+01 6.662733217025387789e-03
8.200000000000000000e+01 8.858460965396024178e-02
8.300000000000000000e+01 1.053302117410095246e-01
8.400000000000000000e+01 9.935363013873134419e-02
8.500000000000000000e+01 -6.335719659290221881e-05
8.600000000000000000e+01 -1.808970648501292411e-01
8.700000000000000000e+01 -1.836674825939265954e-01
8.800000000000000000e+01 -2.153692812418813718e-01
8.900000000000000000e+01 -2.399893402472895176e-01
9.000000000000000000e+01 -1.059885498303000523e-01
9.100000000000000000e+01 -1.416841834243864028e-02
9.200000000000000000e+01 6.945305953204021499e-02
9.300000000000000000e+01 1.724344808207921645e-02
9.400000000000000000e+01 -1.311315874728127551e-01
9.500000000000000000e+01 -9.205173927735031680e-03
9.600000000000000000e+01 3.853732306289905235e-02
9.700000000000000000e+01 -1.335437090614343958e-01
9.800000000000000000e+01 5.786092224825366975e-02

