# variable name: vacf_P
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_P (nm2/ps2)

0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.830984473951418723e-01
2.000000000000000000e+00 -4.517943440419415480e-02
3.000000000000000000e+00 5.662739178131929313e-02
4.000000000000000000e+00 -8.875821533460033844e-03
5.000000000000000000e+00 -2.403725058062766706e-02
6.000000000000000000e+00 5.533706404592962647e-03
7.000000000000000000e+00 6.987551277943658545e-02
8.000000000000000000e+00 7.978907741965306222e-02
9.000000000000000000e+00 4.444628138920726085e-02
1.000000000000000000e+01 1.281357384911790791e-02
1.100000000000000000e+01 -1.831292419671287641e-02
1.200000000000000000e+01 -3.444673591180259786e-02
1.300000000000000000e+01 -3.891763550960603696e-02
1.400000000000000000e+01 -7.040571117480479146e-03
1.500000000000000000e+01 3.802931926636379800e-02
1.600000000000000000e+01 3.469605867330468468e-02
1.700000000000000000e+01 4.269353442464957071e-03
1.800000000000000000e+01 -6.211817199405294393e-02
1.900000000000000000e+01 -8.787010769134075139e-02
2.000000000000000000e+01 -2.600240446835608635e-02
2.100000000000000000e+01 -4.292924842362857291e-02
2.200000000000000000e+01 -7.867905522389799511e-02
2.300000000000000000e+01 -1.761482662958528331e-02
2.400000000000000000e+01 1.655379956227592125e-02
2.500000000000000000e+01 -2.006552085069393532e-02
2.600000000000000000e+01 -7.045548360204212379e-02
2.700000000000000000e+01 -5.483148147639178849e-02
2.800000000000000000e+01 -1.362674242905645774e-02
2.900000000000000000e+01 -4.132647327819018168e-02
3.000000000000000000e+01 -4.465497539849081626e-02
3.100000000000000000e+01 -6.135172015753657428e-03
3.200000000000000000e+01 -4.703318736683197165e-02
3.300000000000000000e+01 -1.286371798100479635e-01
3.400000000000000000e+01 -1.157681733556855108e-01
3.500000000000000000e+01 4.195338051809525265e-02
3.600000000000000000e+01 1.270218021946821207e-01
3.700000000000000000e+01 7.410842483823200377e-02
3.800000000000000000e+01 5.746343520999539628e-02
3.900000000000000000e+01 3.691314975706306428e-02
4.000000000000000000e+01 9.517560337593201220e-03
4.100000000000000000e+01 -3.575062009642091670e-02
4.200000000000000000e+01 -2.624578623831188423e-02
4.300000000000000000e+01 6.941294573547528157e-02
4.400000000000000000e+01 6.507241593285623127e-02
4.500000000000000000e+01 6.985747740925036219e-03
4.600000000000000000e+01 2.194112794696968728e-04
4.700000000000000000e+01 -2.062290434090090913e-02
4.800000000000000000e+01 -4.150614286562206295e-02
4.900000000000000000e+01 -1.744397172258983775e-02
5.000000000000000000e+01 -1.235048348989251955e-02
5.100000000000000000e+01 1.812998141758813148e-03
5.200000000000000000e+01 2.446237570696763175e-02
5.300000000000000000e+01 -3.107693416302307818e-02
5.400000000000000000e+01 -3.923031115932383572e-02
5.500000000000000000e+01 5.433463879763455150e-03
5.600000000000000000e+01 2.356493530100826905e-02
5.700000000000000000e+01 2.291866427630080694e-02
5.800000000000000000e+01 -5.684628645329902960e-03
5.900000000000000000e+01 3.862944874846492571e-02
6.000000000000000000e+01 5.231006373786085267e-02
6.100000000000000000e+01 -4.479679851226384818e-02
6.200000000000000000e+01 -1.214575488851165758e-01
6.300000000000000000e+01 -1.691961435219992704e-01
6.400000000000000000e+01 -1.761774031810463825e-01
6.500000000000000000e+01 -7.648371581046933820e-02
6.600000000000000000e+01 7.255805142998132673e-02
6.700000000000000000e+01 1.241800384864745477e-01
6.800000000000000000e+01 5.787075070855014075e-02
6.900000000000000000e+01 -7.211434369095055807e-02
7.000000000000000000e+01 -2.012618817851968556e-01
7.100000000000000000e+01 -2.002150047031495961e-01
7.200000000000000000e+01 -1.537754614250707585e-01
7.300000000000000000e+01 -1.266059288134599448e-01
7.400000000000000000e+01 -2.168153819452379311e-02
7.500000000000000000e+01 3.862499717238355307e-02
7.600000000000000000e+01 -6.492951747969649690e-02
7.700000000000000000e+01 -1.291182184124627652e-01
7.800000000000000000e+01 -1.128343699805285094e-01
7.900000000000000000e+01 -1.755349136668052368e-01
8.000000000000000000e+01 -1.470164089262012419e-01
8.100000000000000000e+01 7.221925267666938660e-03
8.200000000000000000e+01 1.265467985799630379e-01
8.300000000000000000e+01 1.440080196593757911e-01
8.400000000000000000e+01 1.341377160948985514e-01
8.500000000000000000e+01 -6.505644567181116406e-04
8.600000000000000000e+01 -2.627303982127625614e-01
8.700000000000000000e+01 -2.733235442818049421e-01
8.800000000000000000e+01 -3.130671730939056929e-01
8.900000000000000000e+01 -3.480243873736162952e-01
9.000000000000000000e+01 -1.433996081778057263e-01
9.100000000000000000e+01 -4.732217071015665071e-03
9.200000000000000000e+01 1.151077036956954375e-01
9.300000000000000000e+01 3.303307620900595987e-02
9.400000000000000000e+01 -2.198178155866404027e-01
9.500000000000000000e+01 -6.347581600855539685e-02
9.600000000000000000e+01 7.404432824987942918e-02
9.700000000000000000e+01 -1.475637417986101763e-01
9.800000000000000000e+01 -3.050722652950791508e-02

