# variable name: vacf_total
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_total (nm2/ps2)

0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.184936457841605562e-01
2.000000000000000000e+00 -2.814012166934123371e-01
3.000000000000000000e+00 -4.342676826296979625e-02
4.000000000000000000e+00 -2.669342225064881557e-02
5.000000000000000000e+00 -2.183371902340490098e-02
6.000000000000000000e+00 -1.017950711675246270e-02
7.000000000000000000e+00 4.436755317239895503e-03
8.000000000000000000e+00 8.205676234349272916e-03
9.000000000000000000e+00 2.557017266016703427e-03
1.000000000000000000e+01 -2.918399648142788478e-03
1.100000000000000000e+01 -2.749241569080930741e-03
1.200000000000000000e+01 -2.767278958459624787e-03
1.300000000000000000e+01 -5.611745369466617471e-03
1.400000000000000000e+01 -7.145259536759510262e-03
1.500000000000000000e+01 -5.231269877632552766e-03
1.600000000000000000e+01 -2.624441305265129941e-03
1.700000000000000000e+01 -3.372110151084341105e-04
1.800000000000000000e+01 -6.640685392068463103e-03
1.900000000000000000e+01 -1.123448651587276130e-02
2.000000000000000000e+01 -5.234742122370501446e-03
2.100000000000000000e+01 -1.051455317441676342e-02
2.200000000000000000e+01 -1.823157746586251404e-02
2.300000000000000000e+01 -1.024433838530472603e-02
2.400000000000000000e+01 7.819508910847455807e-03
2.500000000000000000e+01 4.168933800280020738e-03
2.600000000000000000e+01 -1.632095361747864723e-02
2.700000000000000000e+01 -1.130985020671076112e-02
2.800000000000000000e+01 -5.847096690986149786e-03
2.900000000000000000e+01 -2.000904195873155073e-02
3.000000000000000000e+01 -1.773728063715999947e-02
3.100000000000000000e+01 6.604505631471573046e-04
3.200000000000000000e+01 -6.726982614059580368e-03
3.300000000000000000e+01 -2.914547415202368985e-02
3.400000000000000000e+01 -1.971784526587054900e-02
3.500000000000000000e+01 1.801742861608250992e-02
3.600000000000000000e+01 3.210523090275747143e-02
3.700000000000000000e+01 1.231769486957707063e-02
3.800000000000000000e+01 -1.873902277848759831e-03
3.900000000000000000e+01 2.900529280116652744e-03
4.000000000000000000e+01 2.711413747157344865e-03
4.100000000000000000e+01 -9.477907326611717531e-03
4.200000000000000000e+01 5.876809396973430754e-05
4.300000000000000000e+01 2.030025330492308058e-02
4.400000000000000000e+01 2.046134463803522818e-02
4.500000000000000000e+01 6.652930359589467185e-03
4.600000000000000000e+01 -7.393213533194773965e-03
4.700000000000000000e+01 -8.876755846410575371e-03
4.800000000000000000e+01 -2.368383831367546367e-03
4.900000000000000000e+01 -2.885379519758504772e-04
5.000000000000000000e+01 -7.459948923022571669e-03
5.100000000000000000e+01 -8.420171676118576656e-03
5.200000000000000000e+01 -4.742662543453652658e-03
5.300000000000000000e+01 -8.426128196224161662e-03
5.400000000000000000e+01 1.279962423284729690e-03
5.500000000000000000e+01 7.716259271709018618e-03
5.600000000000000000e+01 -1.488307889937214544e-03
5.700000000000000000e+01 -7.526870510533805077e-03
5.800000000000000000e+01 -1.262276553198068280e-02
5.900000000000000000e+01 4.615517979393505069e-03
6.000000000000000000e+01 2.161168005075199752e-02
6.100000000000000000e+01 5.753184307947686177e-03
6.200000000000000000e+01 -1.300102725679628569e-02
6.300000000000000000e+01 -3.758433231258313106e-02
6.400000000000000000e+01 -5.227933755933605875e-02
6.500000000000000000e+01 -3.012058913970921264e-02
6.600000000000000000e+01 1.002299367078840486e-02
6.700000000000000000e+01 3.316722930055641255e-02
6.800000000000000000e+01 2.172928777974212147e-02
6.900000000000000000e+01 -1.352891096616638290e-02
7.000000000000000000e+01 -4.360280043327617594e-02
7.100000000000000000e+01 -4.214847822852853948e-02
7.200000000000000000e+01 -4.565482011083730335e-02
7.300000000000000000e+01 -5.080076129360176773e-02
7.400000000000000000e+01 -2.167947797648171748e-02
7.500000000000000000e+01 1.207074966699034444e-03
7.600000000000000000e+01 -2.029741815554420709e-02
7.700000000000000000e+01 -3.865615026686886058e-02
7.800000000000000000e+01 -1.519472870327761606e-02
7.900000000000000000e+01 -6.872334377309698150e-03
8.000000000000000000e+01 -3.177924432957784581e-03
8.100000000000000000e+01 1.394753364317105788e-02
8.200000000000000000e+01 -1.612722821124441472e-04
8.300000000000000000e+01 -5.083231977794507375e-03
8.400000000000000000e+01 1.721209530737875804e-02
8.500000000000000000e+01 -3.053616100319029279e-06
8.600000000000000000e+01 -4.348186169168745396e-02
8.700000000000000000e+01 -5.860460673712217239e-02
8.800000000000000000e+01 -8.735323675855835579e-02
8.900000000000000000e+01 -6.537143245638950273e-02
9.000000000000000000e+01 -1.570407546508437516e-02
9.100000000000000000e+01 -4.042530794991548715e-02
9.200000000000000000e+01 -2.336582358738093293e-02
9.300000000000000000e+01 9.700394634797895876e-03
9.400000000000000000e+01 -3.214930274392396869e-02
9.500000000000000000e+01 5.924983377766568013e-03
9.600000000000000000e+01 3.202613705211295597e-02
9.700000000000000000e+01 -1.246934420810007910e-02
9.800000000000000000e+01 1.433393676973486186e-01

