# variable name: vacf_C
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_C (nm2/ps2)

0.000000000000000000e+00 2.177084977093494793e-03
1.000000000000000000e+00 5.321631091028271353e-04
2.000000000000000000e+00 -5.404710568093172834e-04
3.000000000000000000e+00 -6.188716851848436275e-05
4.000000000000000000e+00 -4.334277956671788676e-05
5.000000000000000000e+00 -4.459330398446299972e-05
6.000000000000000000e+00 -1.738897267743154271e-05
7.000000000000000000e+00 1.942171564193999079e-05
8.000000000000000000e+00 2.771754444676687127e-05
9.000000000000000000e+00 1.224559531725801976e-05
1.000000000000000000e+01 -4.006187782772266841e-06
1.100000000000000000e+01 -2.511034193730584151e-06
1.200000000000000000e+01 -2.158048619800969388e-06
1.300000000000000000e+01 -1.768034663752403009e-05
1.400000000000000000e+01 -2.366480473424559594e-05
1.500000000000000000e+01 -1.243779295538246049e-05
1.600000000000000000e+01 -4.896634379844868073e-06
1.700000000000000000e+01 -1.745981268523006120e-06
1.800000000000000000e+01 -1.905453515200658895e-05
1.900000000000000000e+01 -3.035419015218148751e-05
2.000000000000000000e+01 -1.790285889013982555e-05
2.100000000000000000e+01 -3.413022363810424453e-05
2.200000000000000000e+01 -5.113994974768166319e-05
2.300000000000000000e+01 -3.015095983712759252e-05
2.400000000000000000e+01 2.197899988508855674e-05
2.500000000000000000e+01 1.493371600694964389e-05
2.600000000000000000e+01 -5.039730821615233337e-05
2.700000000000000000e+01 -3.861169407924425401e-05
2.800000000000000000e+01 -1.717052948320007562e-05
2.900000000000000000e+01 -5.678875234059155795e-05
3.000000000000000000e+01 -5.276736142690020658e-05
3.100000000000000000e+01 3.270447698228481817e-07
3.200000000000000000e+01 -1.981024349792740303e-05
3.300000000000000000e+01 -8.437925097096572952e-05
3.400000000000000000e+01 -5.537589279346129576e-05
3.500000000000000000e+01 5.346934861463484631e-05
3.600000000000000000e+01 9.466075338164322184e-05
3.700000000000000000e+01 3.911481541998062741e-05
3.800000000000000000e+01 -6.502676317400397529e-06
3.900000000000000000e+01 6.322233095878929341e-06
4.000000000000000000e+01 7.294698177714628427e-06
4.100000000000000000e+01 -2.872974941057385875e-05
4.200000000000000000e+01 1.693859385076215331e-06
4.300000000000000000e+01 6.380259504729663008e-05
4.400000000000000000e+01 6.190266475413050331e-05
4.500000000000000000e+01 1.851551580883290335e-05
4.600000000000000000e+01 -2.266455054600198437e-05
4.700000000000000000e+01 -2.716972990044118444e-05
4.800000000000000000e+01 -4.755305021932513316e-06
4.900000000000000000e+01 1.064555944513617276e-06
5.000000000000000000e+01 -2.730455219449085842e-05
5.100000000000000000e+01 -2.949252158341544695e-05
5.200000000000000000e+01 -1.609640928333166894e-05
5.300000000000000000e+01 -2.508861074390878962e-05
5.400000000000000000e+01 9.177945854986834399e-06
5.500000000000000000e+01 2.433871192964045006e-05
5.600000000000000000e+01 -6.268464363172590375e-06
5.700000000000000000e+01 -2.068490356211536414e-05
5.800000000000000000e+01 -3.848175563539119948e-05
5.900000000000000000e+01 1.198852533710262352e-05
6.000000000000000000e+01 6.723261018768169597e-05
6.100000000000000000e+01 2.057712182781078542e-05
6.200000000000000000e+01 -3.771935258986853904e-05
6.300000000000000000e+01 -1.145921333569741620e-04
6.400000000000000000e+01 -1.580911069891047108e-04
6.500000000000000000e+01 -9.030284124963755456e-05
6.600000000000000000e+01 2.832419246099748207e-05
6.700000000000000000e+01 9.524868114231234634e-05
6.800000000000000000e+01 6.234912551827971182e-05
6.900000000000000000e+01 -4.119560319167447302e-05
7.000000000000000000e+01 -1.302159810292698497e-04
7.100000000000000000e+01 -1.216129164881865035e-04
7.200000000000000000e+01 -1.381696376853522475e-04
7.300000000000000000e+01 -1.600632032885570784e-04
7.400000000000000000e+01 -6.891021082155987846e-05
7.500000000000000000e+01 2.067541471151487488e-06
7.600000000000000000e+01 -6.287563409718755533e-05
7.700000000000000000e+01 -1.141790377107407452e-04
7.800000000000000000e+01 -3.675704080532102324e-05
7.900000000000000000e+01 -1.449817764797610835e-05
8.000000000000000000e+01 -6.130257944980064874e-06
8.100000000000000000e+01 4.260205741981043238e-05
8.200000000000000000e+01 -1.476907722633795847e-05
8.300000000000000000e+01 -2.518315540360071305e-05
8.400000000000000000e+01 5.728291879843333681e-05
8.500000000000000000e+01 1.362951554085279505e-05
8.600000000000000000e+01 -1.201584471203550740e-04
8.700000000000000000e+01 -1.868679009565216121e-04
8.800000000000000000e+01 -2.731870852643209250e-04
8.900000000000000000e+01 -1.980182189510611937e-04
9.000000000000000000e+01 -3.958682917178042758e-05
9.100000000000000000e+01 -1.326380178763515759e-04
9.200000000000000000e+01 -1.084468018937657160e-04
9.300000000000000000e+01 2.494492762108435003e-05
9.400000000000000000e+01 -6.326768310119513215e-05
9.500000000000000000e+01 3.871244430245387891e-06
9.600000000000000000e+01 5.772664656490697033e-05
9.700000000000000000e+01 4.322485848156885777e-06
9.800000000000000000e+01 4.940804111561895385e-04

