# variable name: vacf_H
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_H (nm2/ps2)

0.000000000000000000e+00 3.769530622605439529e-03
1.000000000000000000e+00 7.811405395859547397e-04
2.000000000000000000e+00 -1.120128435141078517e-03
3.000000000000000000e+00 -1.922851674526610238e-04
4.000000000000000000e+00 -1.109968489707389299e-04
5.000000000000000000e+00 -8.355095264705150640e-05
6.000000000000000000e+00 -4.195841471041052368e-05
7.000000000000000000e+00 4.263944341927520316e-06
8.000000000000000000e+00 1.772640303649627641e-05
9.000000000000000000e+00 2.250501978473390691e-06
1.000000000000000000e+01 -1.320581825665965401e-05
1.100000000000000000e+01 -9.868868276927285276e-06
1.200000000000000000e+01 -8.036547613094390677e-06
1.300000000000000000e+01 -1.466133699840760611e-05
1.400000000000000000e+01 -2.318147891666780846e-05
1.500000000000000000e+01 -2.394600427677639950e-05
1.600000000000000000e+01 -1.476771863619158480e-05
1.700000000000000000e+01 -1.312049090168895280e-06
1.800000000000000000e+01 -1.576610611838011628e-05
1.900000000000000000e+01 -3.012427767025849522e-05
2.000000000000000000e+01 -1.453493249210491697e-05
2.100000000000000000e+01 -3.186446904050857970e-05
2.200000000000000000e+01 -5.710594165972644797e-05
2.300000000000000000e+01 -3.393701902421681677e-05
2.400000000000000000e+01 2.586208520338411325e-05
2.500000000000000000e+01 1.583141883253890044e-05
2.600000000000000000e+01 -4.803556860997949156e-05
2.700000000000000000e+01 -3.151469696018202143e-05
2.800000000000000000e+01 -1.975005694296114172e-05
2.900000000000000000e+01 -6.770159003878838480e-05
3.000000000000000000e+01 -5.721409774320420093e-05
3.100000000000000000e+01 4.954846407379741676e-06
3.200000000000000000e+01 -1.817489095084852440e-05
3.300000000000000000e+01 -8.965153603707240839e-05
3.400000000000000000e+01 -5.749231561743490176e-05
3.500000000000000000e+01 5.980201542057897901e-05
3.600000000000000000e+01 9.918274233988122967e-05
3.700000000000000000e+01 3.293895203903008517e-05
3.800000000000000000e+01 -1.267315770779340735e-05
3.900000000000000000e+01 6.827171908667748889e-06
4.000000000000000000e+01 7.713935917773284871e-06
4.100000000000000000e+01 -2.910730511577460993e-05
4.200000000000000000e+01 2.159627673066514479e-06
4.300000000000000000e+01 6.183530666097633664e-05
4.400000000000000000e+01 6.530920469304374559e-05
4.500000000000000000e+01 2.433834014162735771e-05
4.600000000000000000e+01 -2.546514633043200169e-05
4.700000000000000000e+01 -2.908187788948621207e-05
4.800000000000000000e+01 -5.029857078534397591e-06
4.900000000000000000e+01 4.123739039234756618e-07
5.000000000000000000e+01 -2.222964262808248894e-05
5.100000000000000000e+01 -2.757399403724295874e-05
5.200000000000000000e+01 -1.837769427613990551e-05
5.300000000000000000e+01 -2.619062827763513282e-05
5.400000000000000000e+01 6.498451927275059036e-06
5.500000000000000000e+01 2.602051740982281298e-05
5.600000000000000000e+01 -6.604159725586313380e-06
5.700000000000000000e+01 -2.925645705026120295e-05
5.800000000000000000e+01 -4.319410340246839799e-05
5.900000000000000000e+01 1.313720542116419083e-05
6.000000000000000000e+01 6.920711752770142787e-05
6.100000000000000000e+01 2.328156817783576325e-05
6.200000000000000000e+01 -3.298935473374457462e-05
6.300000000000000000e+01 -1.121283242663310796e-04
6.400000000000000000e+01 -1.632506831726616818e-04
6.500000000000000000e+01 -9.677633206415636041e-05
6.600000000000000000e+01 2.938084882601060217e-05
6.700000000000000000e+01 1.048600933493336161e-04
6.800000000000000000e+01 7.071347395742168869e-05
6.900000000000000000e+01 -3.875533438353975530e-05
7.000000000000000000e+01 -1.309718215666461657e-04
7.100000000000000000e+01 -1.268857710797382837e-04
7.200000000000000000e+01 -1.413370968806399635e-04
7.300000000000000000e+01 -1.601440045400414963e-04
7.400000000000000000e+01 -7.152936640654793739e-05
7.500000000000000000e+01 -1.368897253295787317e-07
7.600000000000000000e+01 -6.361360958541419888e-05
7.700000000000000000e+01 -1.220028140288102351e-04
7.800000000000000000e+01 -4.463465961979693424e-05
7.900000000000000000e+01 -8.160016058840583879e-06
8.000000000000000000e+01 2.639867136817675342e-06
8.100000000000000000e+01 4.787121730458636289e-05
8.200000000000000000e+01 -8.671793382980339473e-06
8.300000000000000000e+01 -3.113584942314837512e-05
8.400000000000000000e+01 4.134284254615940561e-05
8.500000000000000000e+01 -6.331118736879469681e-06
8.600000000000000000e+01 -1.280119871140705822e-04
8.700000000000000000e+01 -1.708766237664705858e-04
8.800000000000000000e+01 -2.673302507314231219e-04
8.900000000000000000e+01 -1.897099527560715834e-04
9.000000000000000000e+01 -4.144223724202095773e-05
9.100000000000000000e+01 -1.355598791311877094e-04
9.200000000000000000e+01 -7.617478870591781563e-05
9.300000000000000000e+01 3.334251081925814267e-05
9.400000000000000000e+01 -1.071818077546364827e-04
9.500000000000000000e+01 2.942272574336179684e-05
9.600000000000000000e+01 1.246323094406548036e-04
9.700000000000000000e+01 -4.169105103741845697e-05
9.800000000000000000e+01 4.713618431798731467e-04

