# variable name: vacf_N
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_N (nm2/ps2)

0.000000000000000000e+00 7.981941484742374705e-04
1.000000000000000000e+00 3.014163260562747419e-04
2.000000000000000000e+00 -4.207732080943912378e-05
3.000000000000000000e+00 4.616078674764015843e-05
4.000000000000000000e+00 -4.208123315671877941e-06
5.000000000000000000e+00 -2.402021556468949512e-05
6.000000000000000000e+00 -1.688034599202683353e-06
7.000000000000000000e+00 5.540082374026487400e-05
8.000000000000000000e+00 6.307041930599041884e-05
9.000000000000000000e+00 3.069954708913657197e-05
1.000000000000000000e+01 8.160677726900707253e-06
1.100000000000000000e+01 -9.401342898098036930e-06
1.200000000000000000e+01 -2.430569780710292832e-05
1.300000000000000000e+01 -3.173766457418346972e-05
1.400000000000000000e+01 -6.279871540949044829e-06
1.500000000000000000e+01 2.933053786925387171e-05
1.600000000000000000e+01 2.701759393769704440e-05
1.700000000000000000e+01 1.314665598306403394e-06
1.800000000000000000e+01 -4.459411940711451321e-05
1.900000000000000000e+01 -6.363098556551961609e-05
2.000000000000000000e+01 -2.041886005743776412e-05
2.100000000000000000e+01 -3.220304403911072671e-05
2.200000000000000000e+01 -6.193349984037155808e-05
2.300000000000000000e+01 -1.643496123824260335e-05
2.400000000000000000e+01 1.533202220763034890e-05
2.500000000000000000e+01 -1.339998682792534982e-05
2.600000000000000000e+01 -6.022433117481173386e-05
2.700000000000000000e+01 -4.544419318844281660e-05
2.800000000000000000e+01 -9.125137786056264745e-06
2.900000000000000000e+01 -3.242096363635170832e-05
3.000000000000000000e+01 -3.645388022591519858e-05
3.100000000000000000e+01 -1.013913063970232405e-05
3.200000000000000000e+01 -3.794029877015848783e-05
3.300000000000000000e+01 -9.462627057619470811e-05
3.400000000000000000e+01 -9.006348806630814780e-05
3.500000000000000000e+01 3.238990353276887150e-05
3.600000000000000000e+01 1.019832119896361072e-04
3.700000000000000000e+01 5.688590950050495998e-05
3.800000000000000000e+01 4.522717837269804017e-05
3.900000000000000000e+01 3.196671758708018228e-05
4.000000000000000000e+01 6.085185962391532821e-06
4.100000000000000000e+01 -3.297509517539679469e-05
4.200000000000000000e+01 -1.828784650822903876e-05
4.300000000000000000e+01 5.816882430120584791e-05
4.400000000000000000e+01 4.560878696566455105e-05
4.500000000000000000e+01 3.301084430507618474e-06
4.600000000000000000e+01 -4.934763696715228035e-06
4.700000000000000000e+01 -2.593322838515577200e-05
4.800000000000000000e+01 -2.615478919727931204e-05
4.900000000000000000e+01 -5.424678038966825512e-06
5.000000000000000000e+01 -1.442496400110845423e-05
5.100000000000000000e+01 -2.152859683450536121e-06
5.200000000000000000e+01 1.507778950496010414e-05
5.300000000000000000e+01 -2.816732564608591597e-05
5.400000000000000000e+01 -3.018100634898788194e-05
5.500000000000000000e+01 8.486224857049675115e-06
5.600000000000000000e+01 2.781294054059991216e-05
5.700000000000000000e+01 1.091744548859602375e-05
5.800000000000000000e+01 -1.689026387302091961e-05
5.900000000000000000e+01 3.495394949893013261e-05
6.000000000000000000e+01 4.495715122788593700e-05
6.100000000000000000e+01 -3.734763192739253452e-05
6.200000000000000000e+01 -9.139016760006870178e-05
6.300000000000000000e+01 -1.293046120039549542e-04
6.400000000000000000e+01 -1.413454901724730823e-04
6.500000000000000000e+01 -6.338406172419007824e-05
6.600000000000000000e+01 5.850561938656915025e-05
6.700000000000000000e+01 1.006288875553494058e-04
6.800000000000000000e+01 4.516259053504148628e-05
6.900000000000000000e+01 -5.776932917971288180e-05
7.000000000000000000e+01 -1.613499266813592822e-04
7.100000000000000000e+01 -1.533734898082064421e-04
7.200000000000000000e+01 -1.150148304755796154e-04
7.300000000000000000e+01 -1.088443627013048118e-04
7.400000000000000000e+01 -2.491547324726772316e-05
7.500000000000000000e+01 3.597637291292301687e-05
7.600000000000000000e+01 -3.307338111989839682e-05
7.700000000000000000e+01 -8.884391700580411176e-05
7.800000000000000000e+01 -1.006786398231332641e-04
7.900000000000000000e+01 -1.361291032032984163e-04
8.000000000000000000e+01 -8.860968993981672244e-05
8.100000000000000000e+01 1.185152786554606405e-05
8.200000000000000000e+01 7.700494202485048316e-05
8.300000000000000000e+01 1.085708151689506503e-04
8.400000000000000000e+01 1.134938629413945085e-04
8.500000000000000000e+01 -9.459755917282026936e-06
8.600000000000000000e+01 -1.936723328248228895e-04
8.700000000000000000e+01 -2.007596673907365405e-04
8.800000000000000000e+01 -2.345646512207000451e-04
8.900000000000000000e+01 -2.555793317874591880e-04
9.000000000000000000e+01 -9.546675474186463821e-05
9.100000000000000000e+01 -1.497110046050214494e-05
9.200000000000000000e+01 4.166360924471764062e-05
9.300000000000000000e+01 1.553032865498524433e-05
9.400000000000000000e+01 -1.196250277275731611e-04
9.500000000000000000e+01 8.109048211265091949e-06
9.600000000000000000e+01 5.749047516300490366e-05
9.700000000000000000e+01 -1.370432453248663740e-04
9.800000000000000000e+01 -1.409529189558236155e-04

