# variable name: vacf_O
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_O (nm2/ps2)

0.000000000000000000e+00 1.077228267350857117e-03
1.000000000000000000e+00 3.293250569715981701e-04
2.000000000000000000e+00 -1.483165637763222381e-04
3.000000000000000000e+00 3.703229504100027827e-05
4.000000000000000000e+00 -6.178182629925179332e-06
5.000000000000000000e+00 -2.378946018327901765e-05
6.000000000000000000e+00 -2.758872993323724278e-06
7.000000000000000000e+00 5.404737618335908687e-05
8.000000000000000000e+00 6.249519572097727085e-05
9.000000000000000000e+00 2.873048462675987618e-05
1.000000000000000000e+01 2.886803912415142539e-06
1.100000000000000000e+01 -1.729318017303966385e-05
1.200000000000000000e+01 -3.042184778283084080e-05
1.300000000000000000e+01 -3.039740478111964764e-05
1.400000000000000000e+01 -6.976543826516045913e-06
1.500000000000000000e+01 2.353974630543974886e-05
1.600000000000000000e+01 2.545975545583823105e-05
1.700000000000000000e+01 3.072916725530715106e-06
1.800000000000000000e+01 -5.277248148661505261e-05
1.900000000000000000e+01 -7.234299871682003892e-05
2.000000000000000000e+01 -1.847477218452586476e-05
2.100000000000000000e+01 -2.501330407697464507e-05
2.200000000000000000e+01 -5.727666997303397219e-05
2.300000000000000000e+01 -1.694464647821285322e-05
2.400000000000000000e+01 1.645935881915179606e-05
2.500000000000000000e+01 -1.391991021723255588e-05
2.600000000000000000e+01 -5.762645352273226780e-05
2.700000000000000000e+01 -3.928570643221736416e-05
2.800000000000000000e+01 -6.668886112681389964e-06
2.900000000000000000e+01 -2.932465903997118168e-05
3.000000000000000000e+01 -3.715088179014506767e-05
3.100000000000000000e+01 -1.242921422401091346e-05
3.200000000000000000e+01 -3.684167168753983896e-05
3.300000000000000000e+01 -9.478746391739427217e-05
3.400000000000000000e+01 -8.945006512130516409e-05
3.500000000000000000e+01 2.613999177530655556e-05
3.600000000000000000e+01 9.637191879192486910e-05
3.700000000000000000e+01 6.202012223830917525e-05
3.800000000000000000e+01 4.003815005903836805e-05
3.900000000000000000e+01 2.869000139587718292e-05
4.000000000000000000e+01 1.603981018212280964e-05
4.100000000000000000e+01 -2.678858877764205340e-05
4.200000000000000000e+01 -1.641956987257881686e-05
4.300000000000000000e+01 5.487915044060182398e-05
4.400000000000000000e+01 4.298814918702716851e-05
4.500000000000000000e+01 -1.547127752634710860e-06
4.600000000000000000e+01 -3.275087869050230039e-06
4.700000000000000000e+01 -1.180533614274225020e-05
4.800000000000000000e+01 -2.814066732912420230e-05
4.900000000000000000e+01 -1.594809829197245193e-05
5.000000000000000000e+01 -1.174935818531531643e-05
5.100000000000000000e+01 -1.807389061476731181e-06
5.200000000000000000e+01 1.530518698046199740e-05
5.300000000000000000e+01 -2.323443778266588722e-05
5.400000000000000000e+01 -2.807125822166166320e-05
5.500000000000000000e+01 4.417073917479557617e-06
5.600000000000000000e+01 1.199947769050677750e-05
5.700000000000000000e+01 1.001579574358974098e-05
5.800000000000000000e+01 -7.200902242996166901e-06
5.900000000000000000e+01 2.459356546652171404e-05
6.000000000000000000e+01 3.862795919968247906e-05
6.100000000000000000e+01 -2.677526302375642109e-05
6.200000000000000000e+01 -8.529526360578156040e-05
6.300000000000000000e+01 -1.268896458660845566e-04
6.400000000000000000e+01 -1.343245118768953729e-04
6.500000000000000000e+01 -6.328605014294454189e-05
6.600000000000000000e+01 4.130855032579305202e-05
6.700000000000000000e+01 9.152404240480255606e-05
6.800000000000000000e+01 4.874245628255300246e-05
6.900000000000000000e+01 -5.608009004059559690e-05
7.000000000000000000e+01 -1.487513493984663762e-04
7.100000000000000000e+01 -1.567972169359078190e-04
7.200000000000000000e+01 -1.270813914106161293e-04
7.300000000000000000e+01 -1.021767660015209130e-04
7.400000000000000000e+01 -2.188864157250328197e-05
7.500000000000000000e+01 3.252066513081422282e-05
7.600000000000000000e+01 -4.745320142953990552e-05
7.700000000000000000e+01 -1.009308871425129180e-04
7.800000000000000000e+01 -8.274709697334314579e-05
7.900000000000000000e+01 -1.177250650605332025e-04
8.000000000000000000e+01 -9.754710421935739372e-05
8.100000000000000000e+01 7.177284559197260717e-06
8.200000000000000000e+01 9.542584557148760022e-05
8.300000000000000000e+01 1.134646814934665951e-04
8.400000000000000000e+01 1.070265388493634600e-04
8.500000000000000000e+01 -6.825016310997968567e-08
8.600000000000000000e+01 -1.948674317373603701e-04
8.700000000000000000e+01 -1.978518040433492619e-04
8.800000000000000000e+01 -2.320018776727913133e-04
8.900000000000000000e+01 -2.585233011772630112e-04
9.000000000000000000e+01 -1.141738618927241080e-04
9.100000000000000000e+01 -1.526262074212727968e-05
9.200000000000000000e+01 7.481679898191561848e-05
9.300000000000000000e+01 1.857512970061265384e-05
9.400000000000000000e+01 -1.412586527683054550e-04
9.500000000000000000e+01 -9.916073560837291681e-06
9.600000000000000000e+01 4.151349375138697185e-05
9.700000000000000000e+01 -1.438570583278559205e-04
9.800000000000000000e+01 6.232942102080896087e-05

