# variable name: vacf_P
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_P (nm2/ps2)

0.000000000000000000e+00 7.795239540054068553e-04
1.000000000000000000e+00 2.986344164867933367e-04
2.000000000000000000e+00 -3.521845134648534005e-05
3.000000000000000000e+00 4.414240834638729461e-05
4.000000000000000000e+00 -6.918915496809098827e-06
5.000000000000000000e+00 -1.873761261602964191e-05
6.000000000000000000e+00 4.313656696813350180e-06
7.000000000000000000e+00 5.446963600998174410e-05
8.000000000000000000e+00 6.219749711661148037e-05
9.000000000000000000e+00 3.464694100935177305e-05
1.000000000000000000e+01 9.988487751804672290e-06
1.100000000000000000e+01 -1.427536307922291128e-05
1.200000000000000000e+01 -2.685205578054840645e-05
1.300000000000000000e+01 -3.033722911298932727e-05
1.400000000000000000e+01 -5.488293835954648709e-06
1.500000000000000000e+01 2.964476532264990520e-05
1.600000000000000000e+01 2.704640884541805623e-05
1.700000000000000000e+01 3.328063276516878704e-06
1.800000000000000000e+01 -4.842260304839207755e-05
1.900000000000000000e+01 -6.849685378643485107e-05
2.000000000000000000e+01 -2.026949714482079555e-05
2.100000000000000000e+01 -3.346437747366732396e-05
2.200000000000000000e+01 -6.133220822554272624e-05
2.300000000000000000e+01 -1.373117930341405334e-05
2.400000000000000000e+01 1.290408328859830022e-05
2.500000000000000000e+01 -1.564155415271087241e-05
2.600000000000000000e+01 -5.492173715882698622e-05
2.700000000000000000e+01 -4.274245324445115145e-05
2.800000000000000000e+01 -1.062237213851133227e-05
2.900000000000000000e+01 -3.221497585491360017e-05
3.000000000000000000e+01 -3.480962298864572916e-05
3.100000000000000000e+01 -4.782513548223613278e-06
3.200000000000000000e+01 -3.666349618567000960e-05
3.300000000000000000e+01 -1.002757630376330895e-04
3.400000000000000000e+01 -9.024406424220736400e-05
3.500000000000000000e+01 3.270366506535901468e-05
3.600000000000000000e+01 9.901653749169127999e-05
3.700000000000000000e+01 5.776929235501111271e-05
3.800000000000000000e+01 4.479412422562913072e-05
3.900000000000000000e+01 2.877468445341952548e-05
4.000000000000000000e+01 7.419166266845687299e-06
4.100000000000000000e+01 -2.786846473570719093e-05
4.200000000000000000e+01 -2.045921906446957245e-05
4.300000000000000000e+01 5.410905391888043480e-05
4.400000000000000000e+01 5.072550696466452975e-05
4.500000000000000000e+01 5.445557700690222883e-06
4.600000000000000000e+01 1.710363481256034606e-07
4.700000000000000000e+01 -1.607604793489434517e-05
4.800000000000000000e+01 -3.235503260212301853e-05
4.900000000000000000e+01 -1.359799381075173779e-05
5.000000000000000000e+01 -9.627497723919512752e-06
5.100000000000000000e+01 1.413275480068285124e-06
5.200000000000000000e+01 1.906900783546121921e-05
5.300000000000000000e+01 -2.422521459712545920e-05
5.400000000000000000e+01 -3.058096727177855151e-05
5.500000000000000000e+01 4.235515247498767174e-06
5.600000000000000000e+01 1.836943154172355905e-05
5.700000000000000000e+01 1.786564779718447123e-05
5.800000000000000000e+01 -4.431304198659965314e-06
5.900000000000000000e+01 3.011258062945259452e-05
6.000000000000000000e+01 4.077694771921214618e-05
6.100000000000000000e+01 -3.492017750306344030e-05
6.200000000000000000e+01 -9.467906875073106641e-05
6.300000000000000000e+01 -1.318924468007351804e-04
6.400000000000000000e+01 -1.373345059340940139e-04
6.500000000000000000e+01 -5.962088856560291409e-05
6.600000000000000000e+01 5.656073914562671079e-05
6.700000000000000000e+01 9.680131460952023589e-05
6.800000000000000000e+01 4.511163641359020499e-05
6.900000000000000000e+01 -5.621485833447465027e-05
7.000000000000000000e+01 -1.568884578797654272e-04
7.100000000000000000e+01 -1.560723921174103114e-04
7.200000000000000000e+01 -1.198716557190770634e-04
7.300000000000000000e+01 -9.869235422919537030e-05
7.400000000000000000e+01 -1.690127838231443642e-05
7.500000000000000000e+01 3.010911051926408878e-05
7.600000000000000000e+01 -5.061411419743618912e-05
7.700000000000000000e+01 -1.006507441510166932e-04
7.800000000000000000e+01 -8.795709423493056674e-05
7.900000000000000000e+01 -1.368336699675457382e-04
8.000000000000000000e+01 -1.146028123898281905e-04
8.100000000000000000e+01 5.629663740183288442e-06
8.200000000000000000e+01 9.864626079577859909e-05
8.300000000000000000e+01 1.122577008933649863e-04
8.400000000000000000e+01 1.045635628315500241e-04
8.500000000000000000e+01 -5.071305776362817706e-07
8.600000000000000000e+01 -2.048046388522277374e-04
8.700000000000000000e+01 -2.130622499613245074e-04
8.800000000000000000e+01 -2.440433606394564977e-04
8.900000000000000000e+01 -2.712933465357907645e-04
9.000000000000000000e+01 -1.117834295695891930e-04
9.100000000000000000e+01 -3.688876562410016731e-06
9.200000000000000000e+01 8.972921232135129066e-05
9.300000000000000000e+01 2.575007417940625880e-05
9.400000000000000000e+01 -1.713532527669292787e-04
9.500000000000000000e+01 -4.948091907870880309e-05
9.600000000000000000e+01 5.771932752902026359e-05
9.700000000000000000e+01 -1.150294714746855318e-04
9.800000000000000000e+01 -2.378111385002065669e-05

