# variable name: vacf_total
# 	type: line
# 	axis: time
# 	units: nm2/ps2

# 1st column: time (ps)
# 2nd column: vacf_total (nm2/ps2)

0.000000000000000000e+00 3.042011187656188612e-03
1.000000000000000000e+00 6.646601149072048137e-04
2.000000000000000000e+00 -8.560256494014237532e-04
3.000000000000000000e+00 -1.321047148997068371e-04
4.000000000000000000e+00 -8.120168912330432971e-05
5.000000000000000000e+00 -6.641841753733946079e-05
6.000000000000000000e+00 -3.096617453398678568e-05
7.000000000000000000e+00 1.349665931193684405e-05
8.000000000000000000e+00 2.496175890717499080e-05
9.000000000000000000e+00 7.778475130252852395e-06
1.000000000000000000e+01 -8.877804379702246903e-06
1.100000000000000000e+01 -8.363223610713646137e-06
1.200000000000000000e+01 -8.418093550999744123e-06
1.300000000000000000e+01 -1.707099219619526118e-05
1.400000000000000000e+01 -2.173595944952950708e-05
1.500000000000000000e+01 -1.591358149340704685e-05
1.600000000000000000e+01 -7.983579811963535368e-06
1.700000000000000000e+01 -1.025799680560756660e-06
1.800000000000000000e+01 -2.020103925637728828e-05
1.900000000000000000e+01 -3.417543366885753567e-05
2.000000000000000000e+01 -1.592414410074616574e-05
2.100000000000000000e+01 -3.198538838978168660e-05
2.200000000000000000e+01 -5.546066261977422959e-05
2.300000000000000000e+01 -3.116339197823270873e-05
2.400000000000000000e+01 2.378703358877521867e-05
2.500000000000000000e+01 1.268194326104985275e-05
2.600000000000000000e+01 -4.964852349758779081e-05
2.700000000000000000e+01 -3.440469085952979226e-05
2.800000000000000000e+01 -1.778693354928734868e-05
2.900000000000000000e+01 -6.086772949274347962e-05
3.000000000000000000e+01 -5.395700613683820820e-05
3.100000000000000000e+01 2.009098001987482669e-06
3.200000000000000000e+01 -2.046355637113791588e-05
3.300000000000000000e+01 -8.866085844000032626e-05
3.400000000000000000e+01 -5.998190589525182528e-05
3.500000000000000000e+01 5.480921942291975142e-05
3.600000000000000000e+01 9.766447158847342330e-05
3.700000000000000000e+01 3.747056559938868674e-05
3.800000000000000000e+01 -5.700431693790342903e-06
3.900000000000000000e+01 8.823442520239209051e-06
4.000000000000000000e+01 8.248150953217431167e-06
4.100000000000000000e+01 -2.883190012312140328e-05
4.200000000000000000e+01 1.787731993331619498e-07
4.300000000000000000e+01 6.175359766583052572e-05
4.400000000000000000e+01 6.224363930339213283e-05
4.500000000000000000e+01 2.023828858456866821e-05
4.600000000000000000e+01 -2.249023828070964017e-05
4.700000000000000000e+01 -2.700319059487344984e-05
4.800000000000000000e+01 -7.204650111684104257e-06
4.900000000000000000e+01 -8.777356779739411527e-07
5.000000000000000000e+01 -2.269324808317839772e-05
5.100000000000000000e+01 -2.561425644073847221e-05
5.200000000000000000e+01 -1.442723251646396602e-05
5.300000000000000000e+01 -2.563237624153916284e-05
5.400000000000000000e+01 3.893660011411673663e-06
5.500000000000000000e+01 2.347294703139462778e-05
5.600000000000000000e+01 -4.527449251865982016e-06
5.700000000000000000e+01 -2.289682430108328182e-05
5.800000000000000000e+01 -3.839859396744615776e-05
5.900000000000000000e+01 1.404045733014332865e-05
6.000000000000000000e+01 6.574297249843363822e-05
6.100000000000000000e+01 1.750125102942488842e-05
6.200000000000000000e+01 -3.954927036619734976e-05
6.300000000000000000e+01 -1.143319593754658702e-04
6.400000000000000000e+01 -1.590343297387546747e-04
6.500000000000000000e+01 -9.162716914179091425e-05
6.600000000000000000e+01 3.049005888034549586e-05
6.700000000000000000e+01 1.008950825958507475e-04
6.800000000000000000e+01 6.610073652577643779e-05
6.900000000000000000e+01 -4.115509851588263445e-05
7.000000000000000000e+01 -1.326402067311662338e-04
7.100000000000000000e+01 -1.282161423138671052e-04
7.200000000000000000e+01 -1.388824735475978388e-04
7.300000000000000000e+01 -1.545364841965880559e-04
7.400000000000000000e+01 -6.594921454700333383e-05
7.500000000000000000e+01 3.671935553038184304e-06
7.600000000000000000e+01 -6.174497310970132277e-05
7.700000000000000000e+01 -1.175924415835338398e-04
7.800000000000000000e+01 -4.622253470877112200e-05
7.900000000000000000e+01 -2.090571806109032822e-05
8.000000000000000000e+01 -9.667281678583529883e-06
8.100000000000000000e+01 4.242855338273743483e-05
8.200000000000000000e+01 -4.905920864449001356e-07
8.300000000000000000e+01 -1.546324854590258629e-05
8.400000000000000000e+01 5.235938648805076246e-05
8.500000000000000000e+01 -9.289134339977549133e-09
8.600000000000000000e+01 -1.322723097262322749e-04
8.700000000000000000e+01 -1.782758693425169020e-04
8.800000000000000000e+01 -2.657295234975143566e-04
8.900000000000000000e+01 -1.988606288854477631e-04
9.000000000000000000e+01 -4.777197325658373757e-05
9.100000000000000000e+01 -1.229742390480895696e-04
9.200000000000000000e+01 -7.107909676161365650e-05
9.300000000000000000e+01 2.950870900373526843e-05
9.400000000000000000e+01 -9.779853862236251934e-05
9.500000000000000000e+01 1.802386572184285282e-05
9.600000000000000000e+01 9.742386720993799400e-05
9.700000000000000000e+01 -3.793188458377633854e-05
9.800000000000000000e+01 4.360399601668986163e-04

