# THIS FILE SHOULD NEVER BE EDITED !!!!!!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,name,symbol,nuclear_spin,abundance,nucleon,proton,neutron,group,period,block,serie,state,family,ionization_energy,configuration,url,equal,b_coherent,b_incoherent,b_incoherent2,xs_coherent,xs_incoherent,xs_scattering,xs_absorption,atomic_number,atomic_weight,vdw_radius,covalent_radius,atomic_radius,electronegativity,electroaffinity,charge,color,xray_asf_a1,xray_asf_a2,xray_asf_a3,xray_asf_a4,xray_asf_c,xray_asf_b1,xray_asf_b2,xray_asf_b3,xray_asf_b4
type,str,str,int,float,int,int,int,int,int,str,int,str,str,float,str,str,float,float,float,float,float,float,float,float,int,float,float,float,float,float,float,int,str,float,float,float,float,float,float,float,float,float
Cen,center,Cen,####,####,####,####,####,####,####,####,####,####,####,####,####,####,1,####,####,####,####,####,####,####,####,####,####,####,####,####,####,0,1;1;1,####,####,####,####,####,####,####,####,####
Mw,dummy,Mw,####,####,####,####,####,####,####,####,####,####,####,####,####,####,1,####,####,####,####,####,####,####,####,####,####,####,####,####,####,0,1;1;1,####,####,####,####,####,####,####,####,####
Du,dummy,Du,####,####,####,####,####,####,####,####,####,####,####,####,####,####,1,####,####,####,####,####,####,####,####,####,####,####,####,####,####,0,1;1;1,####,####,####,####,####,####,####,####,####
H,hydrogen,H,####,100,####,1,####,1,1,s,1,gas,non metal,3288.09312,1s1,http://en.wikipedia.org/wiki/Hydrogen,1,-0.00003739,0.000252723,6.3868914729E-008,1.76E-010,8.03E-009,8.20E-009,3.33E-011,1,1.0079,0.109,0.023,0.079,2.2,182.3664668,0,255;255;255,0.493002,0.322912,0.140191,0.04081,0.003038,0.105109,0.261257,0.0314236,0.577997
H1,hydrogen,H,0.5,99.985,1,1,0,1,1,s,1,gas,non metal,3288.09312,1s1,http://en.wikipedia.org/wiki/Hydrogen,1,-0.000037406,0.00025274,6.38775076E-008,1.76E-010,8.03E-009,8.20E-009,3.33E-011,1,1.007825032,0.109,0.023,0.079,2.2,182.3664668,0,1;1;1,0.493002,0.322912,0.140191,0.04081,0.003038,0.105109,0.261257,0.0314236,0.577997
H2,hydrogen,H,1,0.015,2,1,1,1,1,s,1,gas,non metal,3288.09312,1s1,http://en.wikipedia.org/wiki/Deuterium,1,0.00006671,0.0000404,1.63216E-009,5.59E-010,2.05E-010,7.64E-010,5.19E-014,1,2.014101778,0.109,0.023,0.079,2.2,182.3664668,0,1;1;1,0.493002,0.322912,0.140191,0.04081,0.003038,0.105109,0.261257,0.0314236,0.577997
H3,hydrogen,H,0.5,####,3,1,2,1,1,s,1,gas,non metal,3288.09312,1s1,http://en.wikipedia.org/wiki/Tritium,1,0.00004792,-0.0000104,1.0816E-010,2.89E-010,1.40E-011,3.03E-010,0,1,3.016049268,0.109,0.023,0.079,2.2,182.3664668,0,1;1;1,0.493002,0.322912,0.140191,0.04081,0.003038,0.105109,0.261257,0.0314236,0.577997
He,helium,He,####,100,####,2,####,18,1,s,2,gas,noble gas,5945.23332,1s2,http://en.wikipedia.org/wiki/Helium,1,0.0000326,0,0,1.34E-010,0,1.34E-010,7.47E-013,2,4.0026,0.14,0.15,0.049,####,####,0,1;1;1,0.8734,0.6309,0.3112,0.178,0.0064,0.091037,0.033568,0.229276,0.009821
He3,helium,He,0.5,0.00014,3,2,1,18,1,s,2,gas,noble gas,5945.23332,1s2,http://en.wikipedia.org/wiki/Helium,1,1,####,####,4.42E-010,1.60E-010,6.00E-010,5.33E-007,2,3.01602931,0.14,0.15,0.049,####,####,0,1;1;1,0.8734,0.6309,0.3112,0.178,0.0064,0.091037,0.033568,0.229276,0.009821
He4,helium,He,0,99.99986,4,2,2,18,1,s,2,gas,noble gas,5945.23332,1s2,http://en.wikipedia.org/wiki/Helium,1,0.0000326,0,0,1.34E-010,0,1.34E-010,0,2,4.00260325,0.14,0.15,0.049,####,####,0,1;1;1,0.8734,0.6309,0.3112,0.178,0.0064,0.091037,0.033568,0.229276,0.009821
